vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
1.,Adultery,(2006),Dog Fashion Disco,Avantgarde,8.88,24
2.,Purgatory Dance Party,(2007),Polkadot Cadaver,Avantgarde,8.85,27
3.,The Sham Mirrors,(2002),Arcturus,Avantgarde,8.83,585
4.,Intelligent Design,(2006),Shaolin Death Squad,Avantgarde,8.76,25
5.,2 Unlimited,(2008),Pin-Up Went Down,Avantgarde,8.74,27
6.,Carriers Of Dust,(2006),Mirrorthrone,Avantgarde,8.74,72
7.,Das Schachbrett Des Trommelbuben Zacharias,(1999),Angizia,Avantgarde,8.72,25
8.,California,(1999),Mr. Bungle,Avantgarde,8.71,84
9.,There Be Squabbles Ahead,(2006),Stolen Babies,Avantgarde,8.71,78
10.,Omnio,(1997),In The Woods...,Avantgarde,8.71,136
11.,The Butcher&#039;s Ballroom,(2006),Diablo Swing Orchestra,Avantgarde,8.70,455
12.,Of Natural History,(2004),Sleepytime Gorilla Museum,Avantgarde,8.66,29
13.,In A Flesh Aquarium,(2006),Unexpect,Avantgarde,8.65,236
14.,Carheart,(2003),Virus,Avantgarde,8.64,28
15.,Angst,(2010),Todtgelichter,Avantgarde,8.59,121
16.,Imaginary Sonicscape,(2001),Sigh,Avantgarde,8.58,122
17.,Khaooohs And Kon-Fus-Ion,(1996),Pan.thy.monium,Avantgarde,8.57,58
18.,To Mega Therion,(1985),Celtic Frost,Avantgarde,8.55,374
19.,The Dystopia Journals,(2007),Vulture Industries,Avantgarde,8.55,62
20.,Mr. Bungle,(1991),Mr. Bungle,Avantgarde,8.53,85
21.,Gangrene,(2008),Mirrorthrone,Avantgarde,8.52,85
22.,La Masquerade Infernale,(1997),Arcturus,Avantgarde,8.50,406
23.,Monotheist,(2006),Celtic Frost,Avantgarde,8.50,421
24.,Obscura,(1998),Gorguts,Avantgarde,8.50,187
25.,The Director&#039;s Cut,(2001),Fant&ocirc;mas,Avantgarde,8.49,74
26.,The Arrogance Of Ignorance,(2008),Oceans Of Sadness,Avantgarde,8.47,53
27.,Grand Opening And Closing,(2001),Sleepytime Gorilla Museum,Avantgarde,8.47,32
28.,SwineSong,(2013),Omb,Avantgarde,8.47,38
29.,Mirror Palace,(2007),Oceans Of Sadness,Avantgarde,8.45,31
30.,The Tower,(2013),Vulture Industries,Avantgarde,8.45,153
31.,The Serpent&#039;s Manifolds,(2008),Transcending Bizarre?,Avantgarde,8.45,58
32.,In Glorious Times,(2007),Sleepytime Gorilla Museum,Avantgarde,8.45,29
33.,Written In Waters,(1995),Ved Buens Ende,Avantgarde,8.44,57
