leto,ocena
2001,9.00
1996,8.88
2007,8.85
2007,8.78
1992,8.65
1992,8.65
2009,8.64
2009,8.64
1989,8.64
1990,8.60
2006,8.59
2009,8.59
2014,8.57
1993,8.56
2001,8.54
1991,8.54
2007,8.52
2007,8.51
2000,8.48
2008,8.47
2002,8.45
2007,8.45
1993,8.41
2005,8.40
1997,8.40
1997,8.39
1996,8.38
2007,8.37
2013,8.35
1995,8.35
1994,8.34
2005,8.33
2011,8.33
2014,8.31
2006,8.30
2005,8.30
2014,8.30
2000,8.29
2011,8.29
2011,8.28
1992,8.26
1998,8.23
2014,8.22
2015,8.21
2015,8.20
1993,8.20
2003,8.19
1988,8.19
1991,8.18
1992,8.18
1996,8.18
2012,8.17
2004,8.15
1995,8.14
2010,8.13
2014,8.13
1993,8.13
2007,8.12
2010,8.12
2012,8.11
1994,8.11
1998,8.11
2004,8.10
2011,8.08
2013,8.08
2005,8.07
2012,8.06
2000,8.06
2011,8.05
1994,8.05
2013,8.05
2003,8.05
2001,8.03
1999,8.02
2013,8.01
2006,8.88
2007,8.85
2002,8.83
2006,8.76
2008,8.74
2006,8.74
1999,8.72
1999,8.71
2006,8.71
1997,8.71
2006,8.70
2004,8.66
2006,8.65
2003,8.64
2010,8.59
2001,8.58
1996,8.57
1985,8.55
2007,8.55
1991,8.53
2008,8.52
1997,8.50
2006,8.50
1998,8.50
2001,8.49
2008,8.47
2001,8.47
2013,8.47
2007,8.45
2013,8.45
2008,8.45
2007,8.45
1995,8.44
1998,8.44
2010,8.44
2004,8.43
2010,8.43
2001,8.42
2007,8.40
2006,8.39
2009,8.38
2004,8.38
2008,8.38
2016,8.38
2007,8.37
2001,8.37
1992,8.37
1997,8.36
2009,8.35
2005,8.33
2005,8.33
2006,8.32
2002,8.32
2011,8.32
2011,8.32
1999,8.31
2001,8.30
2003,8.30
2003,8.29
1999,8.28
2012,8.28
2011,8.27
2007,8.27
2011,8.26
1999,8.25
2010,8.25
2015,8.25
2012,8.23
2006,8.23
2003,8.21
2015,8.20
2012,8.20
2008,8.20
1996,8.18
2013,8.18
2003,8.18
2010,8.17
2002,8.17
2001,8.16
2006,8.15
2013,8.15
1999,8.14
2012,8.13
1993,8.11
2004,8.10
2012,8.10
2002,8.09
2007,8.09
2002,8.09
2005,8.09
2005,8.08
2010,8.08
2010,8.07
2003,8.05
2007,8.05
2009,8.04
2010,8.04
2009,8.02
2005,8.02
1994,8.70
1989,8.69
2008,8.67
1997,8.66
1995,8.64
